medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Acicrof p cp b/10;-8;1?904 CFA;2?677 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
"Neuclav 250/31;""25 sach 16;-8;2?620 CFA;4?069 CFA;19/09/2023;II;;Sachets Granules poudres orales"";;;;;;"
Mebendazole ubi bte 10plaquetes x6 ;-8;114 CFA;160 CFA;28/08/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
;-7;40 CFA;40 CFA;09/09/2023;;;;;;;;;;
Mediclav 100mg/12.5mg pdre susp buv/60ml;-7;2?043 CFA;2?912 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Apramol  500mg sec;-7;298 CFA;418 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Sedorrhoide suppo;-5;2?384 CFA;3?391 CFA;15/09/2023;ST;;Suppositoires;;;;;;;
;-5;0 CFA;0 CFA;11/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Ringer lactat Fresenius Kabipac sol perf 500ml;-5;849 CFA;1?305 CFA;14/09/2023;SANS TABLEAU;;;;;;;;;
Maxidrol pde opht T/3g;-5;0 CFA;40 CFA;19/09/2023;LISTE I;Antiinfectieux Antiinflammatoire steroidien;Pommades ophtalmiques;;;;;;;
Azient 500cp b/3;-5;2?631 CFA;3?739 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Bande velpeau crep 4x7 bleu;-5;1?669 CFA;2?606 CFA;09/09/2023;ST;;Divers ;;;;;;;
Artiflex gel b/30;-4;2?909 CFA;4?120 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Mayana lait;-4;6?000 CFA;9?228 CFA;24/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Biofar vit c 1000 b/20;-4;2?373 CFA;3?500 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Zing sirop;-4;2?060 CFA;2?896 CFA;19/09/2023;SANS TABLEAU;Cicatrisation corneenne ;Collyres;;;;;;;
Betamed inj;-3;0 CFA;40 CFA;21/08/2023;;;;;;;;;;
Effercal 250mg/200UIcp eff b/20;-3;1?021 CFA;1?435 CFA;03/08/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Biberon en pp tet nn  fl/270 ml caou blanc;-2;3?260 CFA;4?655 CFA;01/09/2023;SANS TABLEAU;;Verres et tetines;;;;;;;
Novex 0.40;-2;3?302 CFA;4?672 CFA;23/07/2023;LISTE II;;Injectables;;;;;;;
Amloperin cp 10/10 bte/100;-2;19?546 CFA;27?599 CFA;06/09/2023;I;;Comprimes Gelules;;;;;;;
Metformin denk 1g cp b/30;-2;1?939 CFA;2?766 CFA;12/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Omegen 10mg cp B/14;-2;1?601 CFA;2?281 CFA;29/07/2023;LISTE II;Antiulcereux (IPP);Comprimes Gelules;;;;;;;
Esomecro 40mg b/30;-2;2?660 CFA;3?769 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Depakine chrono cp B/30;-2;6?590 CFA;9?295 CFA;19/09/2023;LISTE II;Antiepileptique;Comprimes Gelules;;;;;;;
Vitagen ;-1;1?782 CFA;2?505 CFA;18/09/2023;SANS TABLEAU;;Injectables;;;;;;;
Salvatis lotion FL/125ml;-1;1?005 CFA;1?413 CFA;23/07/2023;SANS TABLEAU;Antiprurigineux;Solutions externes lotions;;;;;;;
Celebrex 200mg cp B/10;-1;5?821 CFA;8?224 CFA;19/09/2023;LISTE I;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Mucomyst sht B/18;-1;1?657 CFA;2?329 CFA;08/06/2023;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales;;;;;;;
Artesum 60mg sol inj b/1;-1;1?160 CFA;1?670 CFA;31/05/2023;I;;Injectables;;;;;;;
Urgo extensible bde a decoufer 6cmx1m/1;-1;0 CFA;0 CFA;19/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Avene SPF50 +fluide t/50ml;-1;8?063 CFA;14?633 CFA;28/06/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
;-1;571 CFA;842 CFA;18/08/2023;I;;Sirops;;;;;;;
Ascard 75mg cp/30;-1;1?368 CFA;1?923 CFA;17/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Dolirhume cp B/16;-1;1?512 CFA;2?125 CFA;02/09/2023;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules;;;;;;;
Glucophage 850mg cp B/100;-1;2?075 CFA;2?957 CFA;01/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Betamethasone gh cp b/20;-1;2?609 CFA;3?708 CFA;25/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Fleming injectable;-1;5?535 CFA;7?822 CFA;11/09/2023;LISTE I;;Injectables;;;;;;;
Amfocin 500/62.5mg cpr b/16;-1;3?000 CFA;4?258 CFA;01/09/2023;I;;Comprimes Gelules;;;;;;;
Eau oxygene valda 10 volumes Fl/125ml;-1;87 CFA;133 CFA;27/05/2023;SANS TABLEAU;;Divers ;;;;;;;
Pastilles vala gingembe ;-1;633 CFA;973 CFA;09/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Esidrex cp B/20;-1;545 CFA;796 CFA;19/09/2023;LISTE II;Diuretique;Comprimes Gelules;;;;;;;
Oxiceb 100mg gel b/20;-1;3?063 CFA;4?346 CFA;26/07/2023;LISTE I;Antitussif Expectorant;Comprimes Gelules;;;;;;;
Cefaperos 250mg  sp Fl/60ml;0;0 CFA;40 CFA;;LISTE I;Antiinflammatoire non steroidien;Sirops;;;;;;;
Deturgylone neces pr nebu Fl/10ml;0;1?544 CFA;2?210 CFA;01/04/2017;LISTE I;Decongestif nasal Antiseptique;Gouttes/Spray nasal;;;;;;;
Fixical 500 Vit D3  cp B/60 sans sucre;0;4?000 CFA;5?624 CFA;22/06/2018;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules;;;;;;;
"Paluject 0;""2mg inj B/6 amp;0;0 CFA;40 CFA;24/01/2020;LISTE I;Antipaludique;Injectables"";;;;;;"
Juvamine magnesium B6;0;2?192 CFA;3?111 CFA;28/08/2023;LISTE II;;Comprimes Gelules;;;;;;;
Topicrem AC gel nett purif fl/60ml;0;11?813 CFA;18?208 CFA;28/08/2021;;;Gel cutane;;;;;;;
Brosse elina kids;0;1?500 CFA;2?307 CFA;02/05/2019;SANS TABLEAU;;Brosses et succettes;;;;;;;
Talodol Pcp 37.5/325mg cp b/30;0;500 CFA;743 CFA;17/03/2021;LISTE I;;Comprimes Gelules;;;;;;;
Geant non sterile 7.5;0;0 CFA;0 CFA;29/08/2019;SANS TABLEAU;;Divers ;;;;;;;
Artefan 40/2400mg cpr b/6;0;1?356 CFA;1?946 CFA;15/07/2023;;;Comprimes Gelules;;;;;;;
Levomac 500mg cpr b/5;0;4?207 CFA;5?955 CFA;25/07/2023;I;;Comprimes Gelules;;;;;;;
Micopain gel buccal;0;2?805 CFA;3?983 CFA;02/09/2020;ST;;Gel buccal ;;;;;;;
Zyrtec sirop;0;1?706 CFA;2?428 CFA;24/11/2022;LISTE II;;Sirops;;;;;;;
Orostim gel ;0;4?029 CFA;4?496 CFA;11/11/2022;I;;Comprimes Gelules;;;;;;;
Manix gel massage gourmand fraise fl 200ml;0;3?557 CFA;6?455 CFA;28/04/2018;SANS TABLEAU;Antiscabieux;Gel lubrufiant;;;;;;;
Bacicoline cy;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antiinflammatoire steroidien;Collyres;;;;;;;
Cefaperos 500mg cp B/8;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Cephalosporines 1 ge;Comprimes Gelules;;;;;;;
Dexagrane cy 5ml;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire et Antiinfectieux;Collyres;;;;;;;
Fixical 500 mg cp B/60;0;4?000 CFA;5?624 CFA;01/04/2017;SANS TABLEAU;Supplement calcique;Comprimes Gelules;;;;;;;
Imazole V ovules B/7;0;0 CFA;40 CFA;;Liste I;Antimycosique Antifongique;Ovules Comprimes gynecologiques;;;;;;;
Miflasone 400 cp B/60;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire steroidien;Comprimes Gelules;;;;;;;
"Paluject 0;""4 detail 1 amp;0;35 CFA;89 CFA;20/07/2020;LISTE I;Antipaludique;Injectables"";;;;;;"
Salbumol 1mg suppo B/12 ;0;0 CFA;40 CFA;;LISTE I;Bronchodilatateur;Suppositoires;;;;;;;
Tobrex collyre;0;1?036 CFA;1?496 CFA;09/09/2023;LISTE I;;Collyres;;;;;;;
"Primalac AR1;0;4?460 CFA;4?901 CFA;03/02/2023;SANS TABLEAU;;""Farines et laits;;;;;;;"
